Site,Occasion,Deer_Count,Coyote_Count,distance,lon,lat,Site_Number,Habitat_Type,o.date,monthfire,Effort
Site3,o1,NA,NA,242.5,-119.015449,34.13716087,3,Large Patch,2014-01-14,9.2,0
Site3,o2,NA,NA,242.5,-119.015449,34.13716087,3,Large Patch,2014-02-13,10.2,0
Site3,o3,NA,NA,242.5,-119.015449,34.13716087,3,Large Patch,2014-03-15,11.3,0
Site3,o4,NA,NA,242.5,-119.015449,34.13716087,3,Large Patch,2014-04-14,12.4,0
Site3,o5,NA,NA,242.5,-119.015449,34.13716087,3,Large Patch,2014-05-14,13.5,0
Site3,o6,NA,NA,242.5,-119.015449,34.13716087,3,Large Patch,2014-06-13,14.5,0
Site3,o7,NA,NA,242.5,-119.015449,34.13716087,3,Large Patch,2014-07-13,15.6,0
Site3,o8,NA,NA,242.5,-119.015449,34.13716087,3,Large Patch,2014-08-12,16.7,0
Site3,o9,1,0,242.5,-119.015449,34.13716087,3,Large Patch,2014-09-11,17.8,14
Site3,o10,0,1,242.5,-119.015449,34.13716087,3,Large Patch,2014-10-11,18.8,28
Site3,o11,NA,NA,242.5,-119.015449,34.13716087,3,Large Patch,2014-11-10,19.9,0
Site3,o12,NA,NA,242.5,-119.015449,34.13716087,3,Large Patch,2014-12-10,21,0
Site3,o13,NA,NA,242.5,-119.015449,34.13716087,3,Large Patch,2015-01-09,22,0
Site3,o14,0,1,242.5,-119.015449,34.13716087,3,Large Patch,2015-02-08,23.1,4
Site3,o15,0,1,242.5,-119.015449,34.13716087,3,Large Patch,2015-03-10,24.2,30
Site3,o16,0,2,242.5,-119.015449,34.13716087,3,Large Patch,2015-04-09,25.2,16
Site3,o17,NA,NA,242.5,-119.015449,34.13716087,3,Large Patch,2015-05-09,26.3,0
Site3,o18,NA,NA,242.5,-119.015449,34.13716087,3,Large Patch,2015-06-08,27.4,0
Site3,o19,NA,NA,242.5,-119.015449,34.13716087,3,Large Patch,2015-07-08,28.5,0
Site3,o20,NA,NA,242.5,-119.015449,34.13716087,3,Large Patch,2015-08-07,29.5,0
Site4,o1,NA,NA,222.9,-119.0156852,34.13695708,4,Burned,2014-01-14,9.2,0
Site4,o2,NA,NA,222.9,-119.0156852,34.13695708,4,Burned,2014-02-13,10.2,0
Site4,o3,NA,NA,222.9,-119.0156852,34.13695708,4,Burned,2014-03-15,11.3,0
Site4,o4,NA,NA,222.9,-119.0156852,34.13695708,4,Burned,2014-04-14,12.4,0
Site4,o5,6,0,222.9,-119.0156852,34.13695708,4,Burned,2014-05-14,13.5,8
Site4,o6,NA,NA,222.9,-119.0156852,34.13695708,4,Burned,2014-06-13,14.5,0
Site4,o7,NA,NA,222.9,-119.0156852,34.13695708,4,Burned,2014-07-13,15.6,0
Site4,o8,NA,NA,222.9,-119.0156852,34.13695708,4,Burned,2014-08-12,16.7,0
Site4,o9,0,0,222.9,-119.0156852,34.13695708,4,Burned,2014-09-11,17.8,6
Site4,o10,0,2,222.9,-119.0156852,34.13695708,4,Burned,2014-10-11,18.8,27
Site4,o11,NA,NA,222.9,-119.0156852,34.13695708,4,Burned,2014-11-10,19.9,0
Site4,o12,NA,NA,222.9,-119.0156852,34.13695708,4,Burned,2014-12-10,21,0
Site4,o13,NA,NA,222.9,-119.0156852,34.13695708,4,Burned,2015-01-09,22,0
Site4,o14,1,0,222.9,-119.0156852,34.13695708,4,Burned,2015-02-08,23.1,4
Site4,o15,14,0,222.9,-119.0156852,34.13695708,4,Burned,2015-03-10,24.2,30
Site4,o16,5,0,222.9,-119.0156852,34.13695708,4,Burned,2015-04-09,25.2,16
Site4,o17,NA,NA,222.9,-119.0156852,34.13695708,4,Burned,2015-05-09,26.3,0
Site4,o18,NA,NA,222.9,-119.0156852,34.13695708,4,Burned,2015-06-08,27.4,0
Site4,o19,NA,NA,222.9,-119.0156852,34.13695708,4,Burned,2015-07-08,28.5,0
Site4,o20,NA,NA,222.9,-119.0156852,34.13695708,4,Burned,2015-08-07,29.5,0
Site5,o1,NA,NA,1708.6,-119.0142906,34.13584944,5,Burned,2014-01-14,9.2,0
Site5,o2,NA,NA,1708.6,-119.0142906,34.13584944,5,Burned,2014-02-13,10.2,0
Site5,o3,NA,NA,1708.6,-119.0142906,34.13584944,5,Burned,2014-03-15,11.3,0
Site5,o4,NA,NA,1708.6,-119.0142906,34.13584944,5,Burned,2014-04-14,12.4,0
Site5,o5,NA,NA,1708.6,-119.0142906,34.13584944,5,Burned,2014-05-14,13.5,0
Site5,o6,NA,NA,1708.6,-119.0142906,34.13584944,5,Burned,2014-06-13,14.5,0
Site5,o7,NA,NA,1708.6,-119.0142906,34.13584944,5,Burned,2014-07-13,15.6,0
Site5,o8,NA,NA,1708.6,-119.0142906,34.13584944,5,Burned,2014-08-12,16.7,0
Site5,o9,NA,NA,1708.6,-119.0142906,34.13584944,5,Burned,2014-09-11,17.8,0
Site5,o10,NA,NA,1708.6,-119.0142906,34.13584944,5,Burned,2014-10-11,18.8,0
Site5,o11,0,0,1708.6,-119.0142906,34.13584944,5,Burned,2014-11-10,19.9,11
Site5,o12,0,0,1708.6,-119.0142906,34.13584944,5,Burned,2014-12-10,21,30
Site5,o13,0,1,1708.6,-119.0142906,34.13584944,5,Burned,2015-01-09,22,29
Site5,o14,NA,NA,1708.6,-119.0142906,34.13584944,5,Burned,2015-02-08,23.1,0
Site5,o15,NA,NA,1708.6,-119.0142906,34.13584944,5,Burned,2015-03-10,24.2,0
Site5,o16,NA,NA,1708.6,-119.0142906,34.13584944,5,Burned,2015-04-09,25.2,0
Site5,o17,NA,NA,1708.6,-119.0142906,34.13584944,5,Burned,2015-05-09,26.3,0
Site5,o18,NA,NA,1708.6,-119.0142906,34.13584944,5,Burned,2015-06-08,27.4,0
Site5,o19,NA,NA,1708.6,-119.0142906,34.13584944,5,Burned,2015-07-08,28.5,0
Site5,o20,NA,NA,1708.6,-119.0142906,34.13584944,5,Burned,2015-08-07,29.5,0
Site6,o1,2,0,915,-119.0156852,34.13695708,6,Large Patch,2014-01-14,9.2,30
Site6,o2,0,0,915,-119.0156852,34.13695708,6,Large Patch,2014-02-13,10.2,4
Site6,o3,NA,NA,915,-119.0156852,34.13695708,6,Large Patch,2014-03-15,11.3,0
Site6,o4,NA,NA,915,-119.0156852,34.13695708,6,Large Patch,2014-04-14,12.4,0
Site6,o5,NA,NA,915,-119.0156852,34.13695708,6,Large Patch,2014-05-14,13.5,0
Site6,o6,NA,NA,915,-119.0156852,34.13695708,6,Large Patch,2014-06-13,14.5,0
Site6,o7,NA,NA,915,-119.0156852,34.13695708,6,Large Patch,2014-07-13,15.6,0
Site6,o8,NA,NA,915,-119.0156852,34.13695708,6,Large Patch,2014-08-12,16.7,0
Site6,o9,2,0,915,-119.0156852,34.13695708,6,Large Patch,2014-09-11,17.8,4
Site6,o10,3,1,915,-119.0156852,34.13695708,6,Large Patch,2014-10-11,18.8,28
Site6,o11,NA,NA,915,-119.0156852,34.13695708,6,Large Patch,2014-11-10,19.9,0
Site6,o12,NA,NA,915,-119.0156852,34.13695708,6,Large Patch,2014-12-10,21,0
Site6,o13,NA,NA,915,-119.0156852,34.13695708,6,Large Patch,2015-01-09,22,0
Site6,o14,NA,NA,915,-119.0156852,34.13695708,6,Large Patch,2015-02-08,23.1,0
Site6,o15,1,1,915,-119.0156852,34.13695708,6,Large Patch,2015-03-10,24.2,29
Site6,o16,0,0,915,-119.0156852,34.13695708,6,Large Patch,2015-04-09,25.2,16
Site6,o17,NA,NA,915,-119.0156852,34.13695708,6,Large Patch,2015-05-09,26.3,0
